vortex_key	change_max_angle	contact_effect	damage	damage_ap	duration	expansion_speed	goal_radius	infinite_height	move_change_freq	movement_speed	start_radius	ignition_amount	is_magical	composite_scene	detonation_force	launch_source	building_collision	launch_vfx	height_off_ground	delay	num_vortexes	composite_scene_blood	affects_allies	launch_source_offset	composite_scene_group	delay_between_vortexes	is_spell	shape	start_height	goal_height	affects_enemies	follow_target
#battle_vortexs_tables;19;db/battle_vortexs_tables/!!!!!!!double_projectile_velocity_compat_ovn_araby
arb_golden_magus_wrath_of_the_djinn	0	arb_golden_magus_wrath_of_the_djinn_dampen	200	200	1.0000	12.0000	5.0000	false	0.0000	0.0000	6.0000	0.0000	true	composite_scene/spells_and_abilities/arb_golden_magus_wrath_of_the_djinn.csc	0.0000	target_centre	1.ignore		0.0000	0.0000	1		true	0.0000		1.0000	false	circle	0.0000	0.0000	false	false
arb_golden_magus_wrath_of_the_djinn_skiff	0	arb_golden_magus_wrath_of_the_djinn_dampen	400	400	1.0000	30.0000	8.0000	false	0.0000	0.0000	8.0000	0.0000	true	composite_scene/spells_and_abilities/arb_golden_magus_wrath_of_the_djinn.csc	0.0000	target_centre	1.ignore		0.0000	0.0000	1		true	0.0000		1.0000	false	circle	0.0000	0.0000	false	false
arb_jaffar_serpent_djinn	0	arb_jaffar_serpent_djinn	0	0	28.0000	-15.0000	15.0000	false	0.0000	0.0000	15.0000	0.0000	false	composite_scene/spells_and_abilities/ovn_arb_sultan_jaffar_serpent_staff.csc	1.0000	target_centre	1.ignore		0.0000	0.0000	1		false	0.0000		1.0000	false	circle	0.0000	0.0000	true	false
arb_wizard_caliph_call_of_the_serpent_djinn	0	arb_wizard_caliph_poison_of_serpent_djinn_upgraded	36	72	1.5000	26.0000	12.0000	false	0.0000	105.0000	12.0000	0.0000	true	composite_scene/spells_and_abilities/arb_wizard_caliph_serpent_djinn_impact.csc	90.0000	target_near_edge	1.ignore		0.0000	2.5000	1		true	24.0000		1.0000	true	circle	0.0000	0.0000	true	false
arb_wizard_caliph_desert_winds	360		4	2	5.0000	-5.0000	12.0000	false	0.1000	0.0000	12.0000	0.0000	true	composite_scene/spells_and_abilities/arb_wizard_caliph_desert_winds_vortex.csc	40.0000	target_centre	1.ignore		0.1000	0.0000	1		false	0.0000		1.0000	true	circle	0.0000	0.0000	true	false
arb_wizard_caliph_eyes_of_the_serpent	0	wh_dlc06_unit_contact_discouraged	32	0	1.0000	14.0000	14.0000	false	0.0000	24.0000	0.1000	0.0000	true	composite_scene/spells_and_abilities/arb_wizard_caliph_eyes_of_serpent.csc	45.0000	target_near_edge	1.ignore		0.0000	0.0000	1		true	12.0000		1.0000	true	circle	0.0000	0.0000	true	false
arb_wizard_caliph_hex_covenant_of_silence	0		300	100	1.0000	12.0000	3.0000	false	0.0000	0.0000	3.0000	0.0000	true	composite_scene\spells_and_abilities\empty.csc	0.0000	target_centre	1.ignore	wh_main_generic_miscast	0.0000	0.0000	1		true	0.0000		1.0000	false	circle	0.0000	0.0000	true	false
arb_wizard_caliph_hex_starlight_reflection	0		0	72	1.0000	15.0000	4.0000	false	0.0000	0.0000	0.1000	0.0000	true	composite_scene\spells_and_abilities\wh3_dlc24_frog_broth_death_explosion.csc	200.0000	target_centre	1.ignore		0.0000	0.0000	1		false	0.0000		1.0000	true	circle	0.0000	0.0000	true	false
arb_wizard_caliph_spell_dream_lantern	0		25	0	2.0000	6.0000	12.0000	false	0.0000	24.0000	0.1000	0.0000	true	composite_scene/spells_and_abilities/arb_wizard_caliph_lantern_of_dreams.csc	200.0000	target_near_edge	1.ignore		0.0000	0.7000	1		true	24.0000		1.0000	true	circle	0.0000	0.0000	true	false
