key	level	trait	threshold_points
#character_trait_levels_tables;0;db/character_trait_levels_tables/land_encounters_and_points_of_interest			
land_encounters_trait_skirmisher_cth_mag_yang_1	1	land_encounters_trait_skirmisher_cth_mag_yang	1
land_encounters_trait_skirmisher_cth_shu_yin_1	1	land_encounters_trait_skirmisher_cth_shu_yin	1
land_encounters_trait_skirmisher_kis_1	1	land_encounters_trait_skirmisher_kis	1
land_encounters_trait_skirmisher_ogr_sla_1	1	land_encounters_trait_skirmisher_ogr_sla	1
land_encounters_trait_skirmisher_ogr_tyr_1	1	land_encounters_trait_skirmisher_ogr_tyr	1
land_encounters_trait_skirmisher_nur_1	1	land_encounters_trait_skirmisher_nur	1
land_encounters_trait_skirmisher_tze_1	1	land_encounters_trait_skirmisher_tze	1
land_encounters_trait_underground_cth_1	1	land_encounters_trait_underground_cth	1
land_encounters_trait_underground_kis_1	1	land_encounters_trait_underground_kis	1
land_encounters_trait_underground_ogr_1	1	land_encounters_trait_underground_ogr	1
land_encounters_trait_underground_tze_1	1	land_encounters_trait_underground_tze	1
land_encounters_trait_bandit_lord_emp_1	1	land_encounters_trait_bandit_lord_emp	1
land_encounters_trait_bandit_hunt_emp_1	1	land_encounters_trait_bandit_hunt_emp	1
land_encounters_trait_bandit_lord_wef_1	1	land_encounters_trait_bandit_lord_wef	1
land_encounters_trait_bandit_spell_wef_1	1	land_encounters_trait_bandit_spell_wef	1
land_encounters_trait_bandit_chief_nor_1	1	land_encounters_trait_bandit_chief_nor	1
land_encounters_trait_bandit_lord_chads_1	1	land_encounters_trait_bandit_lord_chads	1
land_encounters_trait_incursion_arch_hef_1	1	land_encounters_trait_incursion_arch_hef	1
land_encounters_trait_incursion_elt_hef_1	1	land_encounters_trait_incursion_elt_hef	1
land_encounters_trait_incursion_sau_lzd_1	1	land_encounters_trait_incursion_sau_lzd	1
land_encounters_trait_incursion_tik_lzd_1	1	land_encounters_trait_incursion_tik_lzd	1
land_encounters_trait_incursion_nak_lzd_1	1	land_encounters_trait_incursion_nak_lzd	1
land_encounters_trait_incursion_adm_vco_1	1	land_encounters_trait_incursion_adm_vco	1
land_encounters_trait_incursion_cyl_vco_1	1	land_encounters_trait_incursion_cyl_vco	1
land_encounters_trait_surprise_bea_bst_1	1	land_encounters_trait_surprise_bea_bst	1
land_encounters_trait_surprise_mor_bst_1	1	land_encounters_trait_surprise_mor_bst	1
land_encounters_trait_surprise_kha_bst_1	1	land_encounters_trait_surprise_kha_bst	1
land_encounters_trait_surprise_msa_skv_1	1	land_encounters_trait_surprise_msa_skv	1
land_encounters_trait_surprise_cra_skv_1	1	land_encounters_trait_surprise_cra_skv	1
land_encounters_trait_surprise_iki_skv_1	1	land_encounters_trait_surprise_iki_skv	1
land_encounters_trait_battlefield_ggs_grn_1	1	land_encounters_trait_battlefield_ggs_grn	1
land_encounters_trait_battlefield_ska_grn_1	1	land_encounters_trait_battlefield_ska_grn	1
land_encounters_trait_battlefield_wur_grn_1	1	land_encounters_trait_battlefield_wur_grn	1
land_encounters_trait_battlefield_ssf_def_1	1	land_encounters_trait_battlefield_ssf_def	1
land_encounters_trait_battlefield_mal_def_1	1	land_encounters_trait_battlefield_mal_def	1
land_encounters_trait_battlefield_mdb_def_1	1	land_encounters_trait_battlefield_mdb_def	1
land_encounters_trait_battlefield_hel_vmp_1	1	land_encounters_trait_battlefield_hel_vmp	1
land_encounters_trait_battlefield_vlad_vmp_1	1	land_encounters_trait_battlefield_vlad_vmp	1
land_encounters_trait_battlefield_isa_vmp_1	1	land_encounters_trait_battlefield_isa_vmp	1
land_encounters_trait_battlefield_hei_vmp_1	1	land_encounters_trait_battlefield_hei_vmp	1
land_encounters_trait_battlefield_nec_vmp_1	1	land_encounters_trait_battlefield_nec_vmp	1
land_encounters_trait_battlefield_tok_tmb_1	1	land_encounters_trait_battlefield_tok_tmb	1
land_encounters_trait_battlefield_kha_tmb_1	1	land_encounters_trait_battlefield_kha_tmb	1
land_encounters_trait_battlefield_got_dwf_1	1	land_encounters_trait_battlefield_got_dwf	1
land_encounters_trait_daemonic_gifts_skar_kho_1	1	land_encounters_trait_daemonic_gifts_skar_kho	1
land_encounters_trait_daemonic_gifts_valk_kho_1	1	land_encounters_trait_daemonic_gifts_valk_kho	1
land_encounters_trait_daemonic_gifts_dapk_kho_1	1	land_encounters_trait_daemonic_gifts_dapk_kho	1
land_encounters_trait_daemonic_gifts_bldl_kho_1	1	land_encounters_trait_daemonic_gifts_bldl_kho	1
land_encounters_trait_daemonic_gifts_sigv_sla_1	1	land_encounters_trait_daemonic_gifts_sigv_sla	1
land_encounters_trait_daemonic_gifts_nka_sla_1	1	land_encounters_trait_daemonic_gifts_nka_sla	1
land_encounters_trait_daemonic_gifts_mor_def_1	1	land_encounters_trait_daemonic_gifts_mor_def	1
