id	incident_key	payload_key	value	target_key
#cdir_events_incident_payloads_tables;2;db/cdir_events_incident_payloads_tables/land_encounters_and_points_of_interest				
7017900569	land_enc_incident_tomb_robbing	TREASURY	AMOUNT[1500]	default
7017900570	land_enc_incident_tomb_robbing	CHARACTER_EXPERIENCE	AMOUNT[2000]	default
7017900571	land_enc_incident_tomb_robbing	ADD_ANCILLARY	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
7017900572	land_enc_incident_abandoned_camp	EFFECT_BUNDLE	KEY[land_enc_effect_abandoned_camp];DURATION[8]	default
7017900575	land_enc_incident_buried_relics	ADD_ANCILLARY	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
7017900576	land_enc_incident_buried_relics	ADD_ANCILLARY	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
7017900577	land_enc_incident_buried_relics	ADD_ANCILLARY	ANCILLARY_KEY[wh_main_anc_talisman_talisman_of_preservation]	default
7017900579	land_enc_incident_hidden_temple	EFFECT_BUNDLE	KEY[land_enc_effect_hidden_temple];DURATION[5]	default
7017900580	land_enc_incident_caravan_remnants	TREASURY	AMOUNT[5000]	default
7017900581	land_enc_incident_caravan_remnants	CHARACTER_EXPERIENCE	AMOUNT[1000]	default
7017900582	land_enc_incident_caravan_remnants	ADD_ANCILLARY	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
7017900583	land_enc_incident_legendary_bard	EFFECT_BUNDLE	KEY[land_enc_effect_legendary_bard];DURATION[10]	default
7017900584	land_enc_incident_whispers_of_the_gods	EFFECT_BUNDLE	KEY[land_enc_effect_whispers_of_the_gods];DURATION[4]	default
7017900585	land_enc_incident_the_explorer	EFFECT_BUNDLE	KEY[land_enc_effect_the_explorer];DURATION[10]	default
7017900586	land_enc_incident_battle_won_skirmish	ADD_ANCILLARY	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
7017900587	land_enc_incident_battle_won_skirmish	CHARACTER_EXPERIENCE	AMOUNT[1000]	default
7017900588	land_enc_incident_battle_won_underground	TREASURY	AMOUNT[1500]	default
7017900589	land_enc_incident_battle_won_underground	CHARACTER_EXPERIENCE	AMOUNT[1000]	default
7017900590	land_enc_incident_battle_won_bandits	CHARACTER_EXPERIENCE	AMOUNT[1000]	default
7017900591	land_enc_incident_battle_won_bandits	TREASURY	AMOUNT[2500]	default
7017900592	land_enc_incident_battle_won_bandits	ADD_ANCILLARY	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
7017900593	land_enc_incident_battle_won_bandits	ADD_ANCILLARY	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
7017900594	land_enc_incident_battle_won_bandits	ADD_ANCILLARY	RANDOM_ANCILLARY;TARGET_OWNING_FACTION	default
7017900595	land_enc_incident_battle_won_incursion_hef	TREASURY	AMOUNT[1500]	default
7017900596	land_enc_incident_battle_won_incursion_hef	ADD_ANCILLARY	ANCILLARY_KEY[wh2_dlc09_anc_armour_armour_armour_of_dawn]	default
7017900597	land_enc_incident_battle_won_incursion_hef	EFFECT_BUNDLE	KEY[land_enc_effect_battle_won_incursion_hef];DURATION[10]	default
7017900598	land_enc_incident_battle_won_incursion_lzd	TREASURY	AMOUNT[1500]	default
7017900599	land_enc_incident_battle_won_incursion_lzd	EFFECT_BUNDLE	KEY[land_enc_effect_battle_won_incursion_lzd];DURATION[10]	default
7017900600	land_enc_incident_battle_won_incursion_vco	TREASURY	AMOUNT[1500]	default
