faction_key	unit_key
#faction_rebellion_units_junctions_tables;0;db/faction_rebellion_units_junctions_tables/land_encounters_and_points_of_interest	
wh3_main_cth_cathay_qb1	wh3_main_cth_cav_peasant_horsemen_0
wh3_main_cth_cathay_qb1	wh3_main_cth_inf_peasant_archers_0
wh3_main_cth_cathay_qb1	wh3_main_cth_inf_peasant_spearmen_1
wh3_main_cth_cathay_qb1	wh3_main_cth_inf_iron_hail_gunners_0
wh3_main_cth_cathay_qb1	wh3_main_cth_inf_dragon_guard_crossbowmen_0
wh3_main_cth_cathay_qb1	wh3_main_cth_inf_dragon_guard_0
wh3_main_cth_cathay_qb1	wh3_main_cth_veh_sky_junk_0
wh3_main_cth_cathay_qb1	wh3_main_cth_art_grand_cannon_0
wh3_main_cth_cathay_qb1	wh3_main_cth_art_fire_rain_rocket_battery_0
wh3_main_ksl_kislev_qb1	wh3_main_ksl_inf_armoured_kossars_1
wh3_main_ksl_kislev_qb1	wh3_main_ksl_inf_kossars_0
wh3_main_ksl_kislev_qb1	wh3_main_ksl_cav_horse_archers_0
wh3_main_ksl_kislev_qb1	wh3_main_ksl_inf_streltsi_0
wh3_main_ogr_ogre_kingdoms_qb1	wh3_main_ogr_inf_gnoblars_0
wh3_main_ogr_ogre_kingdoms_qb1	wh3_main_ogr_inf_ogres_0
wh3_main_ogr_ogre_kingdoms_qb1	wh3_main_ogr_inf_maneaters_0
wh3_main_ogr_ogre_kingdoms_qb1	wh3_main_ogr_mon_gorgers_0
wh3_main_nur_nurgle_qb1	wh3_main_nur_inf_chaos_furies_0
wh3_main_nur_nurgle_qb1	wh3_main_nur_inf_nurglings_0
wh3_main_nur_nurgle_qb1	wh3_main_nur_inf_forsaken_0
wh3_main_tze_tzeentch_qb1	wh3_main_tze_mon_screamers_0
wh3_main_tze_tzeentch_qb1	wh3_main_tze_inf_forsaken_0
wh3_main_tze_tzeentch_qb1	wh3_main_tze_inf_blue_horrors_0
