key	generate	ui_image	prioritised	event_category	override_icon	is_large_incident	additional_sound_event	sepia_fade	use_revealing_text
#incidents_tables;7;db/incidents_tables/land_encounters_and_points_of_interest									
land_enc_incident_tomb_robbing	false	faction	false	Event		false		0.0000	false
land_enc_incident_abandoned_camp	false	faction	false	Event		false		0.0000	false
land_enc_incident_buried_relics	false	faction	false	Event		false		0.0000	false
land_enc_incident_hidden_temple	false	faction	false	Event		false		0.0000	false
land_enc_incident_caravan_remnants	false	faction	false	Event		false		0.0000	false
land_enc_incident_legendary_bard	false	faction	false	Event		false		0.0000	false
land_enc_incident_whispers_of_the_gods	false	faction	false	Event		false		0.0000	false
land_enc_incident_the_explorer	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_skirmish	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_avoided_skirmish	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_underground	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_avoided_underground	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_bandits	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_avoided_bandits	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_incursion_hef	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_incursion_lzd	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_incursion_vco	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_avoided_incursion	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_surprise_bst	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_surprise_skv	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_avoided_surprise	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_battlefield_grn	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_battlefield_def	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_battlefield_vmp	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_battlefield_tmb	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_battlefield_dwf	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_avoided_battlefield	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_daemonic_gift_chainsword	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_daemonic_gift_chainsword_granted	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_daemonic_gift_chainsword_already_granted	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_daemonic_gift_the_bane_spear	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_daemonic_gift_the_bane_spear_granted	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_daemonic_gift_the_bane_spear_already_granted	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_daemonic_gift_skars_kraken_killer	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_daemonic_gift_skars_kraken_killer_granted	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_daemonic_gift_skars_kraken_killer_already_granted	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_daemonic_gift_gilellions_soulnetter	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_daemonic_gift_gilellions_soulnetter_granted	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_daemonic_gift_gilellions_soulnetter_already_granted	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_avoided_daemonic_gift_khorne	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_daemonic_gift_slaaneshs_blade	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_daemonic_gift_slaaneshs_blade_granted	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_daemonic_gift_slaaneshs_blade_already_granted	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_daemonic_gift_personal_sycophant	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_daemonic_gift_personal_sycophant_granted	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_daemonic_gift_personal_sycophant_already_granted	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_daemonic_gift_dark_princes_paramour	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_daemonic_gift_dark_princes_paramour_granted	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_won_daemonic_gift_dark_princes_paramour_already_granted	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_avoided_daemonic_gift_slaanesh	false	faction	false	Event		false		0.0000	false
land_enc_incident_clean_up_event	false	faction	false	Event		false		0.0000	false
land_enc_incident_battle_clean_up_event	false	faction	false	Event		false		0.0000	false
land_enc_incident_smithy_reclamation_victory	false	faction	false	Event		false		0.0000	false
land_enc_incident_smithy_reclamation_avoidance	false	faction	false	Event		false		0.0000	false
land_enc_incident_smithy_defense_victory	false	faction	false	Event		false		0.0000	false
land_enc_incident_smithy_defense_loss	false	faction	false	Event		false		0.0000	false
land_enc_incident_smithy_defense_surrender	false	faction	false	Event		false		0.0000	false
land_enc_incident_smithy_tribute	false	faction	false	Event		false		0.0000	false
