id	incident_key	option_key	value	target
#cdir_events_incident_option_junctions_tables;1;db/cdir_events_incident_option_junctions_tables/land_encounters_and_points_of_interest				
7017900564	land_enc_incident_tomb_robbing	VAR_CHANCE	100	default
7017900565	land_enc_incident_tomb_robbing	GEN_TARGET_MODEL		default
7017900566	land_enc_incident_abandoned_camp	VAR_CHANCE	100	default
7017900567	land_enc_incident_abandoned_camp	GEN_TARGET_MODEL		default
7017900568	land_enc_incident_buried_relics	VAR_CHANCE	100	default
7017900569	land_enc_incident_buried_relics	GEN_TARGET_MODEL		default
7017900570	land_enc_incident_hidden_temple	VAR_CHANCE	100	default
7017900571	land_enc_incident_hidden_temple	GEN_TARGET_MODEL		default
7017900572	land_enc_incident_caravan_remnants	VAR_CHANCE	100	default
7017900573	land_enc_incident_caravan_remnants	GEN_TARGET_MODEL		default
7017900574	land_enc_incident_legendary_bard	VAR_CHANCE	100	default
7017900575	land_enc_incident_legendary_bard	GEN_TARGET_FACTION		default
7017900576	land_enc_incident_whispers_of_the_gods	VAR_CHANCE	100	default
7017900577	land_enc_incident_whispers_of_the_gods	GEN_TARGET_MODEL		default
7017900578	land_enc_incident_the_explorer	VAR_CHANCE	100	default
7017900579	land_enc_incident_the_explorer	GEN_TARGET_MODEL		default
7017900580	land_enc_incident_battle_won_skirmish	VAR_CHANCE	100	default
7017900581	land_enc_incident_battle_won_skirmish	GEN_TARGET_MODEL		default
7017900582	land_enc_incident_battle_avoided_skirmish	VAR_CHANCE	100	default
7017900583	land_enc_incident_battle_avoided_skirmish	GEN_TARGET_MODEL		default
7017900584	land_enc_incident_battle_won_underground	VAR_CHANCE	100	default
7017900585	land_enc_incident_battle_won_underground	GEN_TARGET_MODEL		default
7017900586	land_enc_incident_battle_avoided_underground	VAR_CHANCE	100	default
7017900587	land_enc_incident_battle_avoided_underground	GEN_TARGET_MODEL		default
7017900588	land_enc_incident_battle_won_bandits	VAR_CHANCE	100	default
7017900589	land_enc_incident_battle_won_bandits	GEN_TARGET_MODEL		default
7017900590	land_enc_incident_battle_avoided_bandits	VAR_CHANCE	100	default
7017900591	land_enc_incident_battle_avoided_bandits	GEN_TARGET_MODEL		default
7017900592	land_enc_incident_battle_won_incursion_hef	VAR_CHANCE	100	default
7017900593	land_enc_incident_battle_won_incursion_hef	GEN_TARGET_MODEL		default
7017900594	land_enc_incident_battle_won_incursion_lzd	VAR_CHANCE	100	default
7017900595	land_enc_incident_battle_won_incursion_lzd	GEN_TARGET_MODEL		default
7017900596	land_enc_incident_battle_won_incursion_vco	VAR_CHANCE	100	default
7017900597	land_enc_incident_battle_won_incursion_vco	GEN_TARGET_MODEL		default
7017900598	land_enc_incident_battle_avoided_incursion	VAR_CHANCE	100	default
7017900599	land_enc_incident_battle_avoided_incursion	GEN_TARGET_MODEL		default
7017900600	land_enc_incident_battle_won_surprise_bst	VAR_CHANCE	100	default
7017900601	land_enc_incident_battle_won_surprise_bst	GEN_TARGET_MODEL		default
7017900602	land_enc_incident_battle_won_surprise_skv	VAR_CHANCE	100	default
7017900603	land_enc_incident_battle_won_surprise_skv	GEN_TARGET_MODEL		default
7017900604	land_enc_incident_battle_avoided_surprise	VAR_CHANCE	100	default
7017900605	land_enc_incident_battle_avoided_surprise	GEN_TARGET_MODEL		default
7017900606	land_enc_incident_battle_won_battlefield_grn	VAR_CHANCE	100	default
7017900607	land_enc_incident_battle_won_battlefield_grn	GEN_TARGET_MODEL		default
7017900608	land_enc_incident_battle_won_battlefield_def	VAR_CHANCE	100	default
7017900609	land_enc_incident_battle_won_battlefield_def	GEN_TARGET_MODEL		default
7017900610	land_enc_incident_battle_won_battlefield_vmp	VAR_CHANCE	100	default
7017900611	land_enc_incident_battle_won_battlefield_vmp	GEN_TARGET_MODEL		default
7017900612	land_enc_incident_battle_won_battlefield_tmb	VAR_CHANCE	100	default
7017900613	land_enc_incident_battle_won_battlefield_tmb	GEN_TARGET_MODEL		default
7017900614	land_enc_incident_battle_won_battlefield_dwf	VAR_CHANCE	100	default
7017900615	land_enc_incident_battle_won_battlefield_dwf	GEN_TARGET_MODEL		default
7017900616	land_enc_incident_battle_avoided_battlefield	VAR_CHANCE	100	default
7017900617	land_enc_incident_battle_avoided_battlefield	GEN_TARGET_MODEL		default
7017900618	land_enc_incident_battle_won_daemonic_gift_chainsword	VAR_CHANCE	100	default
7017900619	land_enc_incident_battle_won_daemonic_gift_chainsword	GEN_TARGET_MODEL		default
7017900620	land_enc_incident_battle_won_daemonic_gift_chainsword_granted	VAR_CHANCE	100	default
7017900621	land_enc_incident_battle_won_daemonic_gift_chainsword_granted	GEN_TARGET_MODEL		default
7017900622	land_enc_incident_battle_won_daemonic_gift_chainsword_already_granted	VAR_CHANCE	100	default
7017900623	land_enc_incident_battle_won_daemonic_gift_chainsword_already_granted	GEN_TARGET_MODEL		default
7017900624	land_enc_incident_battle_won_daemonic_gift_the_bane_spear	VAR_CHANCE	100	default
7017900625	land_enc_incident_battle_won_daemonic_gift_the_bane_spear	GEN_TARGET_MODEL		default
7017900626	land_enc_incident_battle_won_daemonic_gift_the_bane_spear_granted	VAR_CHANCE	100	default
7017900627	land_enc_incident_battle_won_daemonic_gift_the_bane_spear_granted	GEN_TARGET_MODEL		default
7017900628	land_enc_incident_battle_won_daemonic_gift_the_bane_spear_already_granted	VAR_CHANCE	100	default
7017900629	land_enc_incident_battle_won_daemonic_gift_the_bane_spear_already_granted	GEN_TARGET_MODEL		default
7017900630	land_enc_incident_battle_won_daemonic_gift_skars_kraken_killer	VAR_CHANCE	100	default
7017900631	land_enc_incident_battle_won_daemonic_gift_skars_kraken_killer	GEN_TARGET_MODEL		default
7017900632	land_enc_incident_battle_won_daemonic_gift_skars_kraken_killer_granted	VAR_CHANCE	100	default
7017900633	land_enc_incident_battle_won_daemonic_gift_skars_kraken_killer_granted	GEN_TARGET_MODEL		default
7017900634	land_enc_incident_battle_won_daemonic_gift_skars_kraken_killer_already_granted	VAR_CHANCE	100	default
7017900635	land_enc_incident_battle_won_daemonic_gift_skars_kraken_killer_already_granted	GEN_TARGET_MODEL		default
7017900636	land_enc_incident_battle_won_daemonic_gift_gilellions_soulnetter	VAR_CHANCE	100	default
7017900637	land_enc_incident_battle_won_daemonic_gift_gilellions_soulnetter	GEN_TARGET_MODEL		default
7017900638	land_enc_incident_battle_won_daemonic_gift_gilellions_soulnetter_granted	VAR_CHANCE	100	default
7017900639	land_enc_incident_battle_won_daemonic_gift_gilellions_soulnetter_granted	GEN_TARGET_MODEL		default
7017900640	land_enc_incident_battle_won_daemonic_gift_gilellions_soulnetter_already_granted	VAR_CHANCE	100	default
7017900641	land_enc_incident_battle_won_daemonic_gift_gilellions_soulnetter_already_granted	GEN_TARGET_MODEL		default
7017900642	land_enc_incident_battle_avoided_daemonic_gift_khorne	VAR_CHANCE	100	default
