key	category	shot_type	explosion_type	spin_type	projectile_number	trajectory_sight	effective_range	minimum_range	max_elevation	muzzle_velocity	marksmanship_bonus	spread	damage	ap_damage	can_bounce	high_air_resistance	collision_radius	base_reload_time	calibration_distance	calibration_area	bonus_v_infantry	bonus_v_large	projectile_display	overhead_stat_effect	projectile_audio	shockwave_radius	can_damage_buildings	contact_stat_effect	gravity	burst_size	burst_shot_delay	mass	homing_params	first_person_params	ignition_amount	is_magical	can_target_airborne	can_damage_allies	fixed_elevation	projectile_penetration	expiry_range	is_beam_launch_burst	expire_on_impact	can_roll	trail_always_on	shots_per_volley	fired_by_mount	lock_on_multiple_fire_pos	prefer_central_targets	can_damage_vehicles	building_damage_multiplier	scaling_damage	is_spell	vegetation_ignore_time	missile_mirror_start_time	spawned_vortex	projectile_shot_type_display
#projectiles_tables;53;db/projectiles_tables/!!!!!!!double_projectile_velocity_compat_pwner1_wh3_ete_unit_pack
cst_pistol	musket	small_arm_default		none	1	low	90	0	45	220.0	60.0000	0.0000	60	90	false	false	0.0500	4.0000	80.0000	1.6000	0	0	wh_emp_rifle_bullet		wh_bullet_multi_impact	-1.0000	false	wh_main_unit_contact_overhead_morale	-1.0000	1	0.0000	6.0000			0.0000	false	true	true	45	medium	-1	false	false	false	false	1	false	false	false	true	1.0000		false	0.3800	0.4000		placeholder
def_1	arrow	small_arm_default		none	2	dual_low_fixed	125	0	88	120.0	70.0000	1.6500	50	100	false	false	0.1000	3.0000	100.0000	0.5000	0	0	wh2_main_def_crossbow_bolt		wh_crossbow_bolt_normal_LH	0.1000	false	wh_main_unit_contact_overhead_morale	-1.0000	1	0.0000	5.0000			0.0000	false	true	true	45	medium	300	false	false	false	false	1	false	false	false	true	1.0000		false	0.7000	0.4000		placeholder
hef_1	arrow	small_arm_default		none	1	dual_low_fixed	150	0	88	110.0	10.0000	0.0000	65	30	false	false	0.1000	2.0000	100.0000	1.0000	0	0	wh2_main_hef_bow_arrow		wh_bow_arrow_normal_lh	0.1000	false		-1.0000	1	0.0000	7.0000			0.0000	true	true	true	45	medium	300	false	false	false	false	1	false	false	false	false	1.0000		false	0.7000	0.4000		placeholder
trog	artillery	artillery_default	wh2_dlc17_lzd_troglodon_spit	none	1	dual_low_fixed	120	5	88	160.0	25.0000	0.0000	80	280	false	false	0.5000	4.0000	100.0000	0.5000	0	75	wh2_dlc17_lzd_troglodon_spit		wh2_dlc17_lzd_troglodon_spit	2.0000	false	wh2_main_unit_contact_plague_monk_censer_morale	-1.0000	1	0.0000	10.0000			0.0000	false	true	true	25	low	200	false	false	false	true	1	true	false	true	true	1.0000		false	0.4400	0.4000		placeholder
wef_1	arrow	small_arm_default	wh2_dlc12_lzd_salamander_flame	none	1	dual_low_fixed	150	0	88	110.0	10.0000	0.0000	50	25	false	false	0.1000	2.0000	100.0000	1.0000	0	0	wh_dlc05_wef_starfire_arrow		wh_bow_arrow_magical_lord	0.1000	false	wh_main_unit_contact_morale	-1.0000	1	0.0000	7.0000			1.0000	true	true	true	45	medium	300	false	false	false	false	1	false	false	false	false	1.0000		false	0.7000	0.4000		placeholder
wef_2	arrow	small_arm_default		none	1	dual_low_fixed	150	0	88	110.0	10.0000	0.0000	50	25	false	false	0.1000	2.0000	100.0000	1.0000	0	0	wh_dlc05_wef_hagbane_arrow		wh_bow_arrow_magical_lord	0.1000	false	wh_main_unit_contact_poison	-1.0000	1	0.0000	7.0000			0.0000	true	true	true	45	medium	300	false	false	false	false	1	false	false	false	false	1.0000		false	0.7000	0.4000		placeholder
wh2_cst_necrofex_colossus_cannon_balls	artillery	artillery_default		none	12	low	220	0	45	220.0	20.0000	3.0000	28	47	false	false	0.1000	10.0000	150.0000	10.0000	0	0	wh_emp_volley_gun_shot		wh_cannon_necrofex_cannonball_normal	0.1000	true	wh2_dlc12_unit_contact_suppressive_fire	-1.0000	1	0.0000	8.0000			0.0000	true	true	true	45	medium_2	700	false	false	false	false	1	true	false	true	true	1.0000		false	0.0000	0.4000		placeholder
wh3_dlc23_chd_deathshrieker_rocket_stage_1_ror	artillery	artillery_canister	wh3_dlc23_chd_deathshrieker_rocket_stage_1	none	1	fixed	420	60	65	300.0	20.0000	0.0000	36	96	false	false	1.0000	12.0000	380.0000	10.0000	25	0	wh3_dlc23_deathshrieker_rocket_part_1		wh3_dlc23_chd_deathshrieker_rocket	0.2000	false		-1.0000	1	0.0000	200.0000			1.0000	true	false	true	55	high_magic	-1	false	false	false	true	1	false	false	true	true	2.0000		false	0.0000	0.4000		deathshrieker_cluster
wh3_dlc23_chd_naptha_bombs_unit_ete	grenade	explosives	wh3_dlc23_chd_naptha_bomb_explosion_character_ete	grenade_spin	1	dual_low_fixed	70	7	88	56.0	10.0000	0.0000	1	0	true	false	0.1000	9.0000	55.0000	2.0000	0	0	wh3_dlc23_chd_naptha_bombs		wh3_dlc23_chd_naptha_bomb	-1.0000	false	wh_main_lore_passive_kindleflame	-1.0000	1	0.0000	3.0000			1.0000	true	false	true	55	very_low	-1	false	false	true	false	1	false	false	true	true	3.0000		false	1.5000	0.4000		placeholder
