key	precursor	default_projectile	audio_type	use_secondary_ammo_pool	hide_secondary_range_ammo_statistics_ui
#missile_weapons_tables;12;db/missile_weapons_tables/!!!!!!!2xunitsize_compat_!ak_teb
bor_ranger_lord	false	bor_ranger_lord	bow_LH	false	false
bor_ranger_lord_horse2	false	bor_ranger_lord_horse2	repeater_gun_LH	false	false
teb_blunderbuss_captain	false	teb_blunderbuss_captain	gatling_gun	false	false
teb_bow_militia	false	teb_bow_militia	bow	false	false
teb_bow_militia_verena	false	teb_bow_militia_verena	bow	false	false
teb_bow_rangers	false	teb_bow_rangers	bow	false	false
teb_colombo	false	teb_colombo	crossbow_LH	false	false
teb_colombo2	false	teb_colombo2	crossbow_LH	false	false
teb_crossbow	false	teb_crossbow	crossbow	false	false
teb_crossbow_birdmen	false	teb_crossbow_birdmen	crossbow	false	false
teb_crossbow_cav	false	teb_crossbow_cav	crossbow	false	false
teb_crossbow_marksmen	false	teb_crossbow_marksmen	crossbow	false	false
teb_duellist_hero	false	teb_duellist_hero	pistol_LH	false	false
teb_enforcers	false	teb_enforcers_poison	bow	false	false
teb_handgunners	false	teb_handgunners	repeater_gun	false	false
teb_handgunners_strigany	false	teb_handgunners_strigany	repeater_gun	false	false
teb_irrana	false	teb_irrana	javelin	false	false
teb_manflayers	false	teb_manflayers	crossbow	false	false
teb_paymaster_wagon	false	teb_paymaster_wagon	hand_cannon	false	false
teb_paymaster_wagon_grenade	false	teb_paymaster_wagon_grenade	grenade_launcher	false	false
teb_pistol_estragon	false	teb_pistol_estragon	pistol	false	false
teb_pistol_pirates	false	teb_pistol_pirates	pistol	false	false
teb_pistol_swash	false	teb_pistol_swash	pistol	false	false
teb_roc_montecastello	false	teb_roc_montecastello	bow	false	false
teb_royal_guard	false	teb_royal_guard	repeater_rifle	false	false
teb_tank	false	teb_tank	cannon	false	false
teb_tank_ror	false	teb_tank_ror	cannon	false	false
