key	precursor	default_projectile	audio_type	use_secondary_ammo_pool	hide_secondary_range_ammo_statistics_ui
#missile_weapons_tables;12;db/missile_weapons_tables/!!!!!!!2xunitsize_compat_ovn_grudgebringers
galed_elf_archers	false	galed_elf_archers_arrow	bow	false	false
grudgebringers_crossbows	false	grudgebringers_crossbows_bolt	crossbow	false	false
grudgebringers_wagon	false	grudgebringers_wagon	crossbow	false	false
helmgart_bowmen	false	helmgart_bowmen_arrow	bow	false	false
keelers_longbows	false	keelers_longbows_arrow	bow	false	false
leitdorf_9th_crossbows	false	leitdorf_9th_crossbows	crossbow	false	false
ludwig_uberdorf	false	imperial_steam_tank_ludwig_uberdorf	repeater_rifle	false	false
matthias	false	matthias	pistol	false	false
matthias_war_wagon	false	matthias_war_wagon	pistol	false	false
outlaw_pistoliers	false	outlaw_pistoliers	pistol	false	false
