key	precursor	default_projectile	audio_type	use_secondary_ammo_pool	hide_secondary_range_ammo_statistics_ui
#missile_weapons_tables;12;db/missile_weapons_tables/!!!!!!!2xunitsize_compat_!xou_age_TKExtended
Hieroscorpion_Ranged	true	Hieroscorpion_Ranged	warpfiregun	false	false
MC_D_miss	false	MC_D_miss	warpfiregun	false	false
MC_L_miss	false	MC_L_miss	warpfiregun	false	false
MC_N_miss	false	MC_N_miss	warpfiregun	false	false
RORarcher_bow	false	RORarcher_arrow	bow	false	false
Serpentguard_ranged	false	Serpentguard_ranged		false	false
Serpentguard_rangedRoR	false	Serpentguard_rangedRoR		false	false
TMB_Cav_Teir2_Bow_Proj	false	TMB_Cav_Teir2_Bow_Arrow	bow	false	false
Tomb_Heavy_Jav	false	Tomb_Heavy_Jav	javelin	false	false
Tomb_Light_Jav	false	Tomb_Light_Jav	javelin	false	false
agemo_nehekhara_archers_bow	false	agemo_nehekhara_archers_arrow	bow	false	false
agemo_tmb_royal_archers_bow	false	agemo_tmb_royal_archers_arrow	bow	false	false
agemo_tomb_guard_archers_bow	false	agemo_tomb_guard_archers_arrow	bow	false	false
tmb_asp	false	tmb_asp	bow	false	false
tmb_serpent	false	tmb_serpent	bow	false	false
vultureliteshortbow	false	vultureliteshortbow_arrow	bow	false	false
vulturemastershortbow	false	vulturemastershortbow_arrow	bow	false	false
vultureshortbow	false	vultureshortbow_arrow	bow	false	false
