key	engine_type	model	gun_animation_table	missile_weapon	destruction_animation	destroyed_model	battle_entity	asset_folder	variant	draught_attachment_point	tech_folder	rider_attachment_point	destruct_model	destruct_anim	destruct_meta	audio_armour_type	riders_shoot_behaviour	scale	crew_reserve_distance_offset
#battlefield_engines_tables;24;db/battlefield_engines_tables/!!!!!!!2xunitsize_compat_bodyguards_allinone_en
banshee_mount1	Generic_No_Crew_Rotate	vmp_black_coach_01	wm_carriage01		vmp_black_coach_destruct	warmachines\carriage\vmp_black_coach\vmp_black_coach_destroyed.rigid_model_v2	banshee_mount1			ap_draughtposition	warmachines\carriage\vmp_black_coach\tech	ap_crewposition					all_riders_shooting	1.0000	0
chd_bodyguard_daemon_tongue_main	Generic_No_Crew_Fixed	chd_iron_daemon_ror	wm_dlc23_loco01_iron_daemon_flamethrower	chd_bodyguard_daemon_tongue_main	chd_iron_daemon_ror_destruct	warmachines\engines\chd_iron_daemon\chd_iron_daemon_flame_destroyed_01.wsmodel	chd_bodyguard_daemon_tongue_main				warmachines/engines/chd_iron_daemon/tech/	ap_crew	warmachines\engines\chd_iron_daemon\chd_iron_daemon_flame_destruct_01.wsmodel	warmachines\engines\chd_iron_daemon\chd_iron_daemon_flame_destruct_01.anim		heavy_metal	all_riders_shooting	1.0000	0
chd_bodyguard_daemon_tongue_secondary	Generic_No_Crew_Fixed	chd_iron_daemon_ror	wm_dlc23_loco01_iron_daemon_flamethrower	chd_bodyguard_daemon_tongue_secondary	chd_iron_daemon_ror_destruct	warmachines\engines\chd_iron_daemon\chd_iron_daemon_flame_destroyed_01.wsmodel	chd_bodyguard_daemon_tongue_main				warmachines/engines/chd_iron_daemon/tech/	ap_crew	warmachines\engines\chd_iron_daemon\chd_iron_daemon_flame_destruct_01.wsmodel	warmachines\engines\chd_iron_daemon\chd_iron_daemon_flame_destruct_01.anim		heavy_metal	all_riders_shooting	1.0000	0
chd_bodyguard_iron_daemon_main	Generic_No_Crew_Fixed	chd_iron_daemon	wm_dlc23_loco01_iron_daemon	chd_bodyguard_iron_daemon_main	chd_iron_daemon_destruct	warmachines\engines\chd_iron_daemon\chd_iron_daemon_destroyed_01.wsmodel	chd_bodyguard_iron_daemon_main				warmachines/engines/chd_iron_daemon/tech/	ap_crew	warmachines\engines\chd_iron_daemon\chd_iron_daemon_destruct_01.wsmodel	warmachines\engines\chd_iron_daemon\chd_iron_daemon_destruct_01.anim		heavy_metal	all_riders_shooting	1.0000	0
chd_bodyguard_iron_daemon_secondary	Generic_No_Crew_Fixed	chd_iron_daemon	wm_dlc23_loco01_iron_daemon	chd_bodyguard_iron_daemon_secondary	chd_iron_daemon_destruct	warmachines\engines\chd_iron_daemon\chd_iron_daemon_destroyed_01.wsmodel	chd_bodyguard_iron_daemon_main				warmachines/engines/chd_iron_daemon/tech/	ap_crew	warmachines\engines\chd_iron_daemon\chd_iron_daemon_destruct_01.wsmodel	warmachines\engines\chd_iron_daemon\chd_iron_daemon_destruct_01.anim		heavy_metal	all_riders_shooting	1.0000	0
chd_daemonsmith_sorcerer_war_machine1	Generic_No_Crew_Fixed	chd_iron_daemon_ror	wm_dlc23_loco01_iron_daemon_flamethrower	chd_bodyguard_iron_daemon_daemonsmith	chd_iron_daemon_ror_destruct	warmachines\engines\chd_iron_daemon\chd_iron_daemon_flame_destroyed_01.wsmodel	chd_bodyguard_daemon_tongue_main				warmachines/engines/chd_iron_daemon/tech/	ap_crew	warmachines\engines\chd_iron_daemon\chd_iron_daemon_flame_destruct_01.wsmodel	warmachines\engines\chd_iron_daemon\chd_iron_daemon_flame_destruct_01.anim		heavy_metal	all_riders_shooting	1.0000	0
chd_zhatan_war_machine1	Generic_No_Crew_Fixed	chd_skullcracker	chd_zhatan_war_machine1		chd_skullcracker_destruct	warmachines\engines\chd_skullcracker\chd_skullcracker_destroyed_01.wsmodel	chd_bodyguard_skullcracker				warmachines/engines/chd_skullcracker/tech/	ap_crew				heavy_metal	all_riders_shooting	1.0000	0
cth_bodyguard_chariot	Generic_No_Crew_Rotate	cth_bodyguard_chariot	wm_tomb_chariot01		hef_tiranoc_chariot_destruct	warmachines\chariot\cth_bodyguard_chariot\cth_bodyguard_chariot_destroyed.rigid_model_v2	cth_bodyguard_chariot			ap_draughtposition	warmachines\chariot\tmb_chariot_of_the_gods\tech		warmachines\chariot\cth_bodyguard_chariot\cth_bodyguard_chariot_destroyed.rigid_model_v2				all_riders_shooting	1.0000	0
ksl_boyar_mount1	Generic_No_Crew_Fixed	ksl_warsled_heavy	wm_wh3_warsled01		ksl_warsled_heavy_destruct	warmachines/chariot/ksl_warsled/ksl_warsled_heavy_destroyed.wsmodel	ksl_boyar_mount1			ap_draughtposition	warmachines\chariot\ksl_warsled\tech				warmachines/chariot/ksl_warsled/ksl_warsled_heavy_destruct.meta		all_riders_shooting	1.0000	0
ksl_boyar_mount2	Generic_No_Crew_Fixed	ksl_little_grom_01	wm_wh3_little_grom01	ksl_boyar_mount2	ksl_little_grom_01_destruct	warmachines/engines/ksl_little_grom/ksl_little_grom_01_destroyed.wsmodel	ksl_boyar_mount2			ap_draughtposition	warmachines/engines/ksl_little_grom/tech/						all_riders_shooting	1.0000	0
vampire_coven_throne	Generic_No_Crew_Rotate	vmp_mortis_engine_nagash	wm_mortisengine01_nagash		vmp_mortis_engine_destruct	warmachines\chariot\vmp_mortis_engine\vmp_mortis_engine_destroyed_01.rigid_model_v2	vampire_coven_throne			ap_draughtposition	warmachines\chariot\vmp_mortis_engine\tech	ap_crewposition					all_riders_shooting	1.0000	0
