key	engine_type	model	gun_animation_table	missile_weapon	destruction_animation	destroyed_model	battle_entity	asset_folder	variant	draught_attachment_point	tech_folder	rider_attachment_point	destruct_model	destruct_anim	destruct_meta	audio_armour_type	riders_shoot_behaviour	scale	crew_reserve_distance_offset
#battlefield_engines_tables;24;db/battlefield_engines_tables/!!!!!!!2xunitsize_compat_!!snek_dawi_thunder
snek_dwf_art_sappers_bolt_thrower	Generic_3_Crew	dwf_bolt_thrower	wm_bolt_thrower02	snek_dwf_art_sappers_bolt_thrower	dwf_bolt_thrower_destruct	warmachines\engines\dwf_bolt_thrower\dwf_bolt_thrower_destroyed.rigid_model_v2	wh_dlc06_dwf_art_boltthrower									war_machine_metal	all_riders_shooting	1.0000	0
snek_dwf_art_sappers_goblin_hewer	Generic_2_Crew	dwf_goblin_hewer	wm_dlc25_hewer01	snek_dwf_art_sappers_goblin_hewer	dwf_goblin_hewer_destruct	warmachines\engines\dwf_goblin_hewer\dwf_goblin_hewer_01_destroyed.wsmodel	wh3_dlc25_dwf_art_goblin_hewer				warmachines\engines\dwf_goblin_hewer\tech\		warmachines\engines\dwf_goblin_hewer\dwf_goblin_hewer_01_destruct.wsmodel	warmachines\engines\dwf_goblin_hewer\dwf_goblin_hewer_01_destruct.anim		war_machine_metal	all_riders_shooting	1.0000	0
snek_dwf_art_sappers_organ_gun	Generic_3_Crew	dwf_organ_gun	wm_organ_gun01	snek_dwf_art_sappers_organ_gun	dwf_organ_gun_destruct	warmachines\engines\dwf_organ_gun\dwf_organ_gun_destroyed_01.rigid_model_v2	wh_main_dwf_art_organ_gun									war_machine_metal	all_riders_shooting	1.0000	0
snek_dwf_bombard	Generic_3_Crew	snek_dwf_bombard	wm_mortar01	snek_dwf_bombard	snek_dwf_bombard_destruct	warmachines/engines/emp_mortar/dwf_mortar_destroyed.rigid_model_v2	wh_main_emp_art_mortar									war_machine_metal	all_riders_shooting	1.0000	0
snek_dwf_breaker_cannon	Generic_3_Crew	snek_dwf_breaker_cannon	wm_cannon01	snek_dwf_breaker_cannon	snek_dwf_breaker_cannon_destruct	warmachines/engines/dwf_cannon/dwf_breaker_cannon_destroyed.rigid_model_v2	wh_main_dwf_art_light_cannon									war_machine_metal	all_riders_shooting	1.0000	0
snek_dwf_cycle	Generic_No_Crew_Fixed	snek_dwf_cycle	wm_dwf_cycle		snek_dwf_cycle_destruct	warmachines/engines/chd_skullcracker/dwf_gyrocycle_destroyed_01.wsmodel	snek_dwf_cycle				warmachines/engines/dwf_cycle/tech/	ap_crewposition				war_machine_metal	all_riders_shooting	1.0000	0
snek_dwf_mining_plow	Generic_No_Crew_Rotate	snek_dwf_mining_plow	wm_mining_wagon_01		snek_dwf_mining_plow_destruct	warmachines/engines/dwf_miningcart01/dwf_steam_plow_destroyed.rigid_model_v2	snek_dwf_mining_plow				warmachines\engines\dwf_miningcart01\tech					war_machine_metal	all_riders_shooting	1.0000	0
snek_dwf_tank	Generic_No_Crew_Rotate	snek_dwf_tank	wm_dwf_steam_tank	snek_dwf_tank	snek_dwf_tank_destruct	warmachines/engines/emp_steam_tank/dwf_steam_tank_destroyed.rigid_model_v2	wh_main_dwf_vehicle_steam_tank				warmachines\engines\emp_steam_tank\tech					war_machine_metal	all_riders_shooting	1.0000	0
snek_dwf_thunder_cannon	Generic_3_Crew	snek_dwf_thunder_cannon	wm_great_cannon01_large	snek_dwf_thunder_cannon	snek_dwf_thunder_cannon_destruct	warmachines/engines/emp_great_cannon/dwf_thunder_cannon_destroyed.rigid_model_v2	wh_main_dwf_art_thunder_cannon									war_machine_metal	all_riders_shooting	1.0000	0
