key	engine_type	model	gun_animation_table	missile_weapon	destruction_animation	destroyed_model	battle_entity	asset_folder	variant	draught_attachment_point	tech_folder	rider_attachment_point	destruct_model	destruct_anim	destruct_meta	audio_armour_type	riders_shoot_behaviour	scale	crew_reserve_distance_offset
#battlefield_engines_tables;24;db/battlefield_engines_tables/!!!!!!!2xunitsize_compat_Trajanns_Khorne_Compilation
eku_heavy_war_sled	Generic_No_Crew_Fixed	eku_warsled_heavy	wm_wh3_warsled01		ksl_warsled_heavy_destruct	warmachines/chariot/ksl_warsled/ksl_warsled_heavy_destroyed.wsmodel	wh3_main_vehicle_heavy_war_sled			ap_draughtposition	warmachines\chariot\ksl_warsled\tech				warmachines/chariot/ksl_warsled/ksl_warsled_heavy_destruct.meta		all_riders_shooting	1.0000	0
eku_juggernaught_chariot	Generic_No_Crew_Rotate	eku_seeker_chariot_exalted_01	wm_wh3_seeker_chariot01		dae_seeker_chariot_exalted_destruct	warmachines\chariot\dae_seeker_chariot\dae_seeker_chariot_exalted_01_destroyed.wsmodel	wh3_main_vehicle_sla_exalted_seeker_chariot			ap_draughtposition	warmachines\chariot\dae_seeker_chariot\tech\	ap_crewposition					all_riders_shooting	1.0000	0
kho_skaven_catapult	Generic_3_Crew	kho_skaven_catapult	wm_plagueclaw_catapult01	kho_skaven_catapult	skv_plagueclaw_catapult_destruct	warmachines/engines/skv_plagueclaw/skv_plagueclaw_01_destroyed.rigid_model_v2	wh2_main_skv_art_plagueclaw_catapult										all_riders_shooting	1.0000	0
kho_skaven_doom_flayer	Generic_No_Crew_Rotate	kho_skaven_doom_flayer	wm_dlc12_doomflayer01		skv_doom_flayer_destruct	warmachines/engines/skv_doom_flayer/skv_doom_flayer_destroyed.rigid_model_v2	wh2_dlc12_skv_vehicle_doom_flayer				warmachines\engines\skv_doom_flayer\tech		warmachines/engines/skv_doom_flayer/skv_doom_flayer_destruct.wsmodel	warmachines/engines/skv_doom_flayer/skv_doom_flayer_destruct.anim	warmachines/engines/skv_doom_flayer/skv_doom_flayer_destruct.meta	war_machine_metal	all_riders_shooting	1.0000	0
kho_skaven_doomwheel	Generic_No_Crew_Rotate	kho_skaven_doomwheel	wm_doomwheel01		skv_doomwheel_destruct	warmachines/engines/skv_doomwheel/skv_doom_wheel_01_destroyed.rigid_model_v2	wh2_main_skv_vehicle_doomwheel				warmachines\engines\skv_doomwheel\tech					war_machine_metal	only_riders_supporting_shoot_moving	1.0000	0
kho_skaven_lightning_cannon	Generic_3_Crew	kho_skaven_lightning_cannon	wm_lightning_cannon01	kho_skaven_lightning_cannon	skv_lightning_cannon_destruct	warmachines\engines\skv_lightning_cannon\skv_lightning_cannon_01_destroyed.rigid_model_v2	wh2_main_skv_art_warp_lightning_cannon									war_machine_metal	all_riders_shooting	1.0000	0
traj_elder_throne	Generic_No_Crew_Rotate	traj_elder_throne	wm_platform01		lzd_mazdamundi_palanquin_destruct	warmachines/chariot/lzd_slann_platform/lzd_mazdamundi_throne_01_destroyed.wsmodel	wh2_main_lzd_slann_mage_palanquin				warmachines\chariot\lzd_slann_platform\tech	ap_platform_rider_0					all_riders_shooting	1.0000	0
traj_kho_dwarf_deathshrieker_rocket_launcher	Generic_No_Crew_Fixed	traj_kho_dwarf_deathshrieker_rocket_launcher	wm_dlc23_cannon02_deathshrieker	traj_kho_dwarf_deathshrieker_rocket_launcher	chd_deathshrieker_destruct	warmachines\engines\chd_deathshrieker\chd_deathshrieker_01_destroyed.wsmodel	wh3_dlc23_chd_veh_deathshrieker_rocket_launcher			ap_draughtposition	warmachines/engines/chd_deathshrieker/tech/	ap_crewposition	warmachines/engines/chd_deathshrieker/chd_deathshrieker_01_destruct.wsmodel	warmachines/engines/chd_magma_cannon/chd_magma_cannon_01_destruct.anim		heavy_metal	all_riders_shooting	1.0000	0
traj_kho_dwarf_iron_daemon_flamethrower	Generic_No_Crew_Fixed	traj_kho_dwarf_iron_daemon_flamethrower	wm_dlc23_loco01_iron_daemon_flamethrower	traj_kho_dwarf_iron_daemon_flamethrower	chd_iron_daemon_ror_destruct	warmachines\engines\chd_iron_daemon\chd_iron_daemon_flame_destroyed_01.wsmodel	wh3_dlc23_chd_veh_iron_daemon_ror				warmachines/engines/chd_iron_daemon/tech/	ap_crew	warmachines\engines\chd_iron_daemon\chd_iron_daemon_flame_destruct_01.wsmodel	warmachines\engines\chd_iron_daemon\chd_iron_daemon_flame_destruct_01.anim		heavy_metal	all_riders_shooting	1.0000	0
