key	engine_type	model	gun_animation_table	missile_weapon	destruction_animation	destroyed_model	battle_entity	asset_folder	variant	draught_attachment_point	tech_folder	rider_attachment_point	destruct_model	destruct_anim	destruct_meta	audio_armour_type	riders_shoot_behaviour	scale	crew_reserve_distance_offset
#battlefield_engines_tables;24;db/battlefield_engines_tables/!!!!!!!2xunitsize_compat_The_Gunpowder_Road2.
cth_baizichong	Generic_2_Crew	cth_baizichong	cth_mielupao_01	wh3_main_cth_mielupao_cannon	dwf_cannon_destruct	warmachines/engines/cth_baizichong/cth_baizichong_canhai.rigid_model_v2	cth_paobing										all_riders_shooting	1.0200	0
cth_dajiangjun_canno	Generic_2_Crew	cth_dajiangjun_canno	cth_dajiangjunpao	cth_dajiangjun_cannon	dwf_cannon_destruct	warmachines/engines/cth_dajiangjun_cannon/cth_fulangji_canhai.rigid_model_v2	cth_paobing									war_machine_metal	all_riders_shooting	1.0000	0
cth_dunche	Generic_3_Crew	cth_dunche	cth_pinfengche	wh3_main_cth_dunche_weapon	cth_grand_cannon_destruct	warmachines/chariot/cth_pinfengche/cth_pinfengche_canhai.rigid_model_v2	wh3_main_cth_pinfengche_huoguigongdiche			ap_draughtposition	warmachines/chariot/cth_pinfengche/tech		warmachines/chariot/cth_dunche/cth_dunche.rigid_model_v2	warmachines\engines\cth_grand_cannon\cth_grand_cannon_destruct_01.anim		war_machine_metal	all_riders_shooting	1.0200	0
cth_huoguigongdiche	Generic_3_Crew	cth_huoguigongdiche	cth_pinfengche_huoguigongdiche	wh3_cth_rocket_battery_mid	cth_grand_cannon_destruct	warmachines/chariot/cth_huoguigongdiche/cth_huoguigongdiche_canhai.rigid_model_v2	wh3_main_cth_pinfengche_huoguigongdiche			ap_draughtposition	warmachines/chariot/cth_pinfengche/tech		warmachines/chariot/cth_huoguigongdiche/cth_huoguigongdiche.rigid_model_v2	warmachines\engines\cth_grand_cannon\cth_grand_cannon_destruct_01.anim		war_machine_metal	all_riders_shooting	1.0200	0
cth_huolongchushui_00	Generic_No_Crew_Fixed	cth_huolongchushui_00	wm_wh3_warcompass01		cth_war_compass_destruct	warmachines/engines/cth_huolongchushui_00/cth_huolongchushui_00_canhai.rigid_model_v2	huolongchushui00_articulation			ap_draughtposition	warmachines/engines/cth_huolongchushui_00/tech	ap_crewposition	warmachines/engines/cth_huolongchushui_00/cth_huolongchushui_00.rigid_model_v2	warmachines/engines/cth_war_compass/cth_war_compass_destruct_01.anim		war_machine_metal	all_riders_shooting	1.0000	0
cth_huolongchushui_fashezhendi	Generic_No_Crew_Fixed	cth_huolongchushui_fashezhendi	wm_huolongchushui01		cth_war_compass_destruct	warmachines/engines/cth_huolongchushui_00/cth_huolongchushui_fashezhendi_canhai.rigid_model_v2	cth_huolongchushui_fashezhendi			ap_draughtposition	warmachines/engines/cth_huolongchushui_fashezhendi/tech	ap_crewposition	warmachines/engines/cth_huolongchushui_fashezhendi/cth_huolongchushui_fashezhendi.rigid_model_v2	warmachines/engines/cth_war_compass/cth_war_compass_destruct_01.anim		war_machine_metal	all_riders_shooting	1.0000	0
cth_huolongjuandiche	Generic_3_Crew	cth_huolongjuandiche	cth_pinfengche_huolongjuandiche	wh3_cth_huolongjuandiche_flame_cannon	cth_grand_cannon_destruct	warmachines/engines/cth_grand_cannon/cth_grand_cannon_destroyed_01.wsmodel	wh3_main_cth_pinfengche_huolongjuandiche			ap_draughtposition			warmachines\engines\cth_grand_cannon\cth_grand_cannon_destruct_01.wsmodel	warmachines\engines\cth_grand_cannon\cth_grand_cannon_destruct_01.anim		war_machine_metal	all_riders_shooting	1.0200	0
cth_huoxiangche	Generic_2_Crew	cth_huoxiangche	cth_huoxiangche	wh3_cth_rocket_huoxiangche_explosion	dwf_cannon_destruct	warmachines/engines/cth_huoxiangche/cth_huoxiangche_canhai.rigid_model_v2	cth_paobing										all_riders_shooting	0.6061	0
cth_menghuoyougui	Generic_2_Crew	cth_menghuoyougui	cth_menghuoyougui	cth_menghuoyougui	dwf_cannon_destruct	warmachines/engines/cth_dajiangjun_cannon/cth_fulangji_canhai.rigid_model_v2	wh_main_dwf_art_cannon									war_machine_metal	all_riders_shooting	1.0000	0
