variant_name	tech_folder	variant_filename	low_poly_filename	mount_scale	scale	scale_variation	super_low_poly_filename
#variants_tables;6;db/variants_tables/!!!!!!!2xunitsize_compat_!!scm_motm
gnoblar_spider_chariot_spider		grn_giant_spider		1.0000	1.1000	0.0500	
hunter_spider_chariot_spider		grn_giant_spider		1.0000	2.0000	0.0500	
lab_skv_brood_horror_mount	variantmeshes/wh_variantmodels/ra1/skv/skv_brood_horror/tech_ogr	lab_skv_brood_horror_mount		1.3500	0.9000	0.0000	
motm_gusnag_scorpion	variantmeshes/wh_variantmodels/sc1/ogr/um_ogr_sand_scorpion/tech	motm_gusnag_scorpion		1.0000	1.1500	0.0000	
motm_gutter_stonehorn	VariantMeshes\wh_variantmodels\hq3b\ogr\ogr_stonehorn\tech\	motm_gutter_stonehorn		0.8500	1.0000	0.0000	
motm_vazgrat_rhinox	variantmeshes/wh_variantmodels/hq2/ogr/ogr_lucky_rhinox/tech	motm_vazgrat_rhinox		1.0000	1.0000	0.0000	
motm_white_rhinox	variantmeshes/wh_variantmodels/hq2/ogr/ogr_sandgrinder_rhinox/tech	motm_sandgrinder_rhinox		1.0000	1.0000	0.0000	
ogr_lava_arachnarok_ror_spider	VariantMeshes/wh_variantmodels/sp1/grn/grn_arachnorok/tech/	ogr_lava_arachnarok_ror_spider		4.6500	0.9000	0.0000	
um_bul_mallet_arachnarok	variantmeshes/wh_variantmodels/sp1/grn/um_bul_mallet_arachnorok/tech	um_bul_mallet_arachnarok		4.6500	0.9000	0.0000	
um_motm_mournfang_ror	variantmeshes/wh_variantmodels/hq2/ogr/um_motm_mournfang_ror/tech	um_motm_mournfang_ror		1.0000	1.0000	0.0000	
um_motm_warsphinx	variantmeshes/wh_variantmodels/bc1/ogr/um_motm_warsphinx/tech	um_motm_warsphinx		1.0000	1.1000	0.0000	
um_motm_warsphinx_0	variantmeshes/wh_variantmodels/bc1/ogr/um_motm_warsphinx/tech	tmb_khemrian_warsphinx		1.0000	1.0000	0.0000	
um_nur_vortex_beast_karaka	variantmeshes/wh_variantmodels/hc4/dae/um_nur_vortex_beast/tech	um_nur_vortex_beast_karaka		1.0000	1.2000	0.0000	
um_nur_vortex_beast_mount	variantmeshes/wh_variantmodels/hc4/dae/um_nur_vortex_beast/tech	um_nur_vortex_beast_mount		1.0000	1.2000	0.0000	
um_ogr_araby_boar		um_ogr_araby_boar		1.0000	1.0000	0.0000	
um_ogr_blackpowder_draft		um_ogr_blackpowder_mournfang		1.0000	1.0000	0.0000	
um_ogr_flamefang		um_ogr_flamefang		1.0000	1.0000	0.0000	
