trait_level	effect	effect_scope	value
#trait_level_effects_tables;0;db/trait_level_effects_tables/land_encounters_and_points_of_interest			
land_encounters_trait_skirmisher_cth_mag_yang_1	wh3_main_effect_ability_enable_inspired_defence_iii	character_to_character_own	1.0000
land_encounters_trait_skirmisher_cth_mag_yang_1	wh3_main_effect_ability_enable_inspired_assault_iii	character_to_character_own	1.0000
land_encounters_trait_skirmisher_cth_shu_yin_1	wh3_main_effect_ability_enable_blossom_wind	character_to_character_own	1.0000
land_encounters_trait_skirmisher_cth_shu_yin_1	wh3_main_effect_ability_overcast_blossom_wind	character_to_character_own	1.0000
land_encounters_trait_skirmisher_cth_shu_yin_1	wh_main_effect_ability_enable_evasion	character_to_character_own	1.0000
land_encounters_trait_skirmisher_kis_1	wh_main_effect_character_stat_melee_defence	character_to_character_own	12.0000
land_encounters_trait_skirmisher_kis_1	wh_main_effect_ability_enable_rally	character_to_character_own	1.0000
land_encounters_trait_skirmisher_ogr_sla_1	wh_main_effect_force_stat_melee_attack	general_to_force_own	2.0000
land_encounters_trait_skirmisher_ogr_sla_1	wh2_main_effect_ability_overcast_the_amber_spear	character_to_character_own	1.0000
land_encounters_trait_skirmisher_ogr_sla_1	wh_dlc03_effect_ability_cooldown_the_amber_spear	character_to_character_own	-30.0000
land_encounters_trait_skirmisher_ogr_sla_1	wh_dlc03_effect_ability_enable_the_amber_spear	character_to_character_own	1.0000
land_encounters_trait_skirmisher_ogr_sla_1	wh2_main_effect_ability_overcast_the_curse_of_anraheir	character_to_character_own	1.0000
land_encounters_trait_skirmisher_ogr_sla_1	wh_dlc03_effect_ability_cooldown_the_curse_of_anraheir	character_to_character_own	-30.0000
land_encounters_trait_skirmisher_ogr_sla_1	wh_dlc03_effect_ability_enable_the_curse_of_anraheir	character_to_character_own	1.0000
land_encounters_trait_skirmisher_ogr_tyr_1	wh_main_effect_force_stat_melee_attack	general_to_force_own	3.0000
