key	generate	localised_description	localised_title	ui_image	prioritized	event_category	sound_popup_override	sound_click_override	override_icon	is_large_dilemma
#dilemmas_tables;3;db/dilemmas_tables/land_encounters_and_points_of_interest										
land_enc_dilemma_skirmish_cth	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_skirmish_kis	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_skirmish_ogr	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_skirmish_nur	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_skirmish_tze	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_underground_cth	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_underground_kis	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_underground_ogr	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_underground_tze	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_bandits_emp	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_bandits_wef	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_bandits_nor	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_bandits_chads	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_incursion_army_hef	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_incursion_army_lzd	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_incursion_army_vco	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_surprise_attack_bst	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_surprise_attack_skv	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_battlefield_grn	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_battlefield_def	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_battlefield_vmp	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_battlefield_tmb	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_battlefield_dwf	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_daemonic_gift_chainsword	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_daemonic_gift_the_bane_spear	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_daemonic_gift_skars_kraken_killer	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_daemonic_gift_gilellions_soulnetter	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_daemonic_gift_slaaneshs_blade	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_daemonic_gift_personal_sycophant	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_daemonic_gift_dark_princes_paramour	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_caravans_cathay	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_caravans_chads	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_smithy_reclamation	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_smithy_defense	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_smithy_visit_level_1	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_smithy_visit_level_2	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
land_enc_dilemma_smithy_visit_level_3	false			faction	false	Event	UI_CAM_EVENT_Dilemma			false
