unit	purchasable_effect	is_exclusive
#unit_purchasable_effect_sets_tables;0;db/unit_purchasable_effect_sets_tables/!!!!!!1a_glf_unit_expansion
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_all_arcane_blast	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_all_arcane_blast_magic_attacks_ammo_type_magic	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_flaming_arcane_fire_attacks_ammo_type_arcane_fire	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_magic_attacks_ammo_type_magic	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_piercing_magic_attacks_ammo_type_magic	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_all_aura_of_ensorcelling_poison_contact_magic_attacks_ammo_type_poison	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_all_aura_of_healing	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_all_aura_of_hexing	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_all_barrier_boost	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_all_chain_lightining_urannons_thunderbolt	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_all_chain_lightning	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_all_ensorcelled_weapons_flaming_arcane_fire_attacks_ammo_type_arcane_fire	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_all_ensorcelled_weapons_magic_attacks_ammo_type_magic	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_all_ensorcelled_weapons_piercing_magic_attacks_ammo_type_magic	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_all_ensorcelled_weapons_poison_contact_magic_attacks_ammo_type_poison	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_all_field_medic_encourage	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_all_freezing_aura_contact_freezing_attacks_ammo_type_frozen	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_all_freezing_aura_contact_frostbite_attacks_ammo_type_frozen	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_all_frostfire_tempest	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_all_frostfire_tempest_contact_frostfire_attacks_ammo_type_frozen	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_all_frozen_tomb	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_all_frozen_tomb_aoe	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_all_hunter_snare	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_all_hunter_trap	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_all_magma_storm	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_all_searing_doom	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_all_unstable_winds	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_all_urannons_thunderbolt	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_all_wake_of_fire_flaming_sword_of_rhuin_contact_scorching_flaming_attacks_ammo_type_flaming	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_powder_entrench	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_powder_firing_line	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_powder_firing_line_aoe	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_ranged_expert_skirmisher	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_ranged_hawkish_precision	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_ranged_rapid_fire	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_ranged_rapid_fire_aoe	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_ranged_slippery_attribute_stalk_vanguard	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_ranged_slippery_attribute_stalk_vanguard_snipe	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_ranged_smokebomb	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_ranged_volley_arcane	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_ranged_volley_arcane_greater	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_ranged_volley_barbed	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_ranged_volley_barbed_greater	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_ranged_volley_fire_charge	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_ranged_volley_fire_charge_greater	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_ranged_volley_flaming	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_ranged_volley_flaming_greater	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_ranged_volley_ice_shard	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_ranged_volley_ice_shard_greater	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_ranged_volley_piercing	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_ranged_volley_piercing_greater	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_ranged_volley_poison	False
glf_brt_bolt_thrower	nanu_dynamic_ror_ability_ranged_volley_poison_greater	False
glf_brt_bolt_thrower	nanu_dynamic_ror_attribute_all_immPsy_vanguard	False
glf_brt_bolt_thrower	nanu_dynamic_ror_attribute_all_immune_to_contact	False
glf_brt_bolt_thrower	nanu_dynamic_ror_attribute_all_perfect_vigour	False
glf_brt_bolt_thrower	nanu_dynamic_ror_attribute_all_piercing_gaze	False
glf_brt_bolt_thrower	nanu_dynamic_ror_attribute_all_stalk_vanguard	False
glf_brt_bolt_thrower	nanu_dynamic_ror_attribute_all_strider_vanguard	False
glf_brt_bolt_thrower	nanu_dynamic_ror_attribute_all_wayfarer	False
glf_brt_bolt_thrower	nanu_dynamic_ror_attribute_ranged_piercing_gaze_ammo_type_seeking	False
glf_brt_bolt_thrower	nanu_dynamic_ror_attribute_ranged_stalk_snipe	False
glf_brt_bolt_thrower	nanu_dynamic_ror_attribute_ranged_unspottable_snipe_vanguard	False
glf_brt_bolt_thrower	nanu_dynamic_ror_basic_all_arcane_fire_attacks_ammo_type_arcane_fire	False
glf_brt_bolt_thrower	nanu_dynamic_ror_basic_all_barrier	False
glf_brt_bolt_thrower	nanu_dynamic_ror_basic_all_barrier_greater	False
glf_brt_bolt_thrower	nanu_dynamic_ror_basic_all_flaming_attacks_ammo_type_flaming	False
glf_brt_bolt_thrower	nanu_dynamic_ror_basic_all_magic_attacks_ammo_type_magic	False
glf_brt_bolt_thrower	nanu_dynamic_ror_basic_artillery_1	False
glf_brt_bolt_thrower	nanu_dynamic_ror_basic_artillery_2	False
glf_brt_bolt_thrower	nanu_dynamic_ror_basic_artillery_3	False
glf_brt_bolt_thrower	nanu_dynamic_ror_basic_elite_1	False
glf_brt_bolt_thrower	nanu_dynamic_ror_basic_elite_2	False
glf_brt_bolt_thrower	nanu_dynamic_ror_basic_elite_3	False
glf_brt_bolt_thrower	nanu_dynamic_ror_basic_ranged_1	False
glf_brt_bolt_thrower	nanu_dynamic_ror_basic_ranged_2	False
glf_brt_bolt_thrower	nanu_dynamic_ror_basic_ranged_3	False
glf_brt_bolt_thrower	nanu_dynamic_ror_bretonnia_special_dwarf_ally_contact_trebuchet_ammo_type_explosive	False
glf_brt_bolt_thrower	nanu_dynamic_ror_chaos_contact_maruader_horsemen_special_knightly_enemy_shieldbreaker_ammo_type_anti_large	False
glf_brt_bolt_thrower	nanu_dynamic_ror_chaos_contact_maruader_horsemen_throwing_axes_special_knightly_enemy_armour_destruction	False
glf_brt_bolt_thrower	nanu_dynamic_ror_chorf_ability_all_sadistic_snare	False
glf_brt_bolt_thrower	nanu_dynamic_ror_chorf_ability_all_sadistic_snare_bonus_vs_large_ammo_type_anti_large	False
glf_brt_bolt_thrower	nanu_dynamic_ror_chorf_ability_all_special_ash_storm_contact_searing_flaming_attacks	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_chaotic	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_chaotic_wasteland_ability_all_field_medic_encourage	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_chaotic_wasteland_ability_all_unstable_winds_barrier_boost	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_aura_of_rust	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_beacon_of_hope	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_crowfeast	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_frenzy_immPsy	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_grim_resolve_immPsy	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_holy_aura	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_horrible_regeneration	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_miasma_of_dispair_attribute_stalk	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_regeneration	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_resplendent_armour	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_stand_or_die	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_stand_your_ground	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_strength_from_flesh	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_undaunted_immPsy	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_valiant_war_cry	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_vengeful_war_cry	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_vicious_war_cry	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_chaotic_wasteland_ability_melee_violent_war_cry	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_chaotic_wasteland_attribute_all_perfect_vigour_strider	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_chaotic_wasteland_attribute_all_wayfarer_strider_vanguard	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_chaotic_wasteland_contact_all_contaminated_ammo_type_poison	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_chaotic_wasteland_contact_all_corrosive_attacks	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_chaotic_wasteland_contact_all_cursed_attacks	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_chaotic_wasteland_contact_all_entropic_attacks	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_chaotic_wasteland_contact_all_entropic_magic_attacks_ammo_type_magic	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_chaotic_wasteland_contact_all_toxic_sludge_ammo_type_poison	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_desert	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_desert_ability_all_aura_of_ensorcelling_flaming_arcane_fire_attacks_ammo_type_arcane_fire	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_desert_ability_all_ensorcelled_weapons_flaming_arcane_fire_attacks_ammo_type_arcane_fire	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_desert_ability_all_flaming_sword_of_rhuin_contact_scorching_flaming_attacks_ammo_type_flaming	False
glf_brt_bolt_thrower	nanu_dynamic_ror_climate_desert_ability_all_wake_of_fire_contact_scorching_flaming_attacks_ammo_type_flaming	False
