key	skeleton
#battle_animations_table_tables;0;db/battle_animations_table_tables/!!!!!!!2xunitsize_compat_archer_fuyuanshan_faction
cth_fys_gi_mingwang	humanoid11b
cth_fys_lord_longma	humanoid01e
cth_fys_lord_now_spear	humanoid01b
cth_fys_lord_past_sword	humanoid01e
cth_fys_lord_spirit_longma	humanoid01e
cth_fys_xinwu	humanoid10
hu1_fys_jade_master_cav_cata	humanoid01
hu1_fys_jade_master_cav_rhino	humanoid01
hu1_fys_jade_master_inf	humanoid01
hu1_fys_jade_master_veh_banner	humanoid01
hu1_hr1_fys_pagoda_mace	humanoid01
hu1_ox_fys_rhino_rider	humanoid01
hu1e_hr1_fys_firelance	humanoid01e
