key	no_going_back_level	hidden	precedence	icon	ui_priority	pre_battle_speech_parameter	remove_on_skill_reset
#character_traits_tables;3;db/character_traits_tables/land_encounters_and_points_of_interest							
land_encounters_trait_skirmisher_cth_mag_yang	0	false	999	tomb_kings	1		false
land_encounters_trait_skirmisher_cth_shu_yin	0	false	999	tomb_kings	1		false
land_encounters_trait_skirmisher_kis	0	false	999	tomb_kings	1		false
land_encounters_trait_skirmisher_ogr_sla	0	false	999	tomb_kings	1		false
land_encounters_trait_skirmisher_ogr_tyr	0	false	999	tomb_kings	1		false
land_encounters_trait_skirmisher_nur	0	false	999	tomb_kings	1		false
land_encounters_trait_skirmisher_tze	0	false	999	tomb_kings	1		false
land_encounters_trait_underground_cth	0	false	999	tomb_kings	1		false
land_encounters_trait_underground_kis	0	false	999	tomb_kings	1		false
land_encounters_trait_underground_ogr	0	false	999	tomb_kings	1		false
land_encounters_trait_underground_tze	0	false	999	tomb_kings	1		false
land_encounters_trait_bandit_lord_emp	0	false	999	tomb_kings	1		false
land_encounters_trait_bandit_hunt_emp	0	false	999	tomb_kings	1		false
land_encounters_trait_bandit_lord_wef	0	false	999	tomb_kings	1		false
land_encounters_trait_bandit_spell_wef	0	false	999	tomb_kings	1		false
land_encounters_trait_bandit_chief_nor	0	false	999	tomb_kings	1		false
land_encounters_trait_bandit_lord_chads	0	false	999	tomb_kings	1		false
land_encounters_trait_incursion_arch_hef	0	false	999	tomb_kings	1		false
land_encounters_trait_incursion_elt_hef	0	false	999	tomb_kings	1		false
land_encounters_trait_incursion_sau_lzd	0	false	999	tomb_kings	1		false
land_encounters_trait_incursion_tik_lzd	0	false	999	tomb_kings	1		false
land_encounters_trait_incursion_nak_lzd	0	false	999	tomb_kings	1		false
land_encounters_trait_incursion_adm_vco	0	false	999	tomb_kings	1		false
land_encounters_trait_incursion_cyl_vco	0	false	999	tomb_kings	1		false
land_encounters_trait_surprise_bea_bst	0	false	999	tomb_kings	1		false
land_encounters_trait_surprise_mor_bst	0	false	999	tomb_kings	1		false
land_encounters_trait_surprise_kha_bst	0	false	999	tomb_kings	1		false
land_encounters_trait_surprise_msa_skv	0	false	999	tomb_kings	1		false
land_encounters_trait_surprise_cra_skv	0	false	999	tomb_kings	1		false
land_encounters_trait_surprise_iki_skv	0	false	999	tomb_kings	1		false
land_encounters_trait_battlefield_ggs_grn	0	false	999	tomb_kings	1		false
land_encounters_trait_battlefield_ska_grn	0	false	999	tomb_kings	1		false
land_encounters_trait_battlefield_wur_grn	0	false	999	tomb_kings	1		false
land_encounters_trait_battlefield_ssf_def	0	false	999	tomb_kings	1		false
land_encounters_trait_battlefield_mal_def	0	false	999	tomb_kings	1		false
land_encounters_trait_battlefield_mdb_def	0	false	999	tomb_kings	1		false
land_encounters_trait_battlefield_hel_vmp	0	false	999	tomb_kings	1		false
land_encounters_trait_battlefield_vlad_vmp	0	false	999	tomb_kings	1		false
land_encounters_trait_battlefield_isa_vmp	0	false	999	tomb_kings	1		false
land_encounters_trait_battlefield_hei_vmp	0	false	999	tomb_kings	1		false
land_encounters_trait_battlefield_nec_vmp	0	false	999	tomb_kings	1		false
land_encounters_trait_battlefield_tok_tmb	0	false	999	tomb_kings	1		false
land_encounters_trait_battlefield_kha_tmb	0	false	999	tomb_kings	1		false
land_encounters_trait_battlefield_got_dwf	0	false	999	tomb_kings	1		false
land_encounters_trait_daemonic_gifts_skar_kho	0	false	999	tomb_kings	1		false
land_encounters_trait_daemonic_gifts_valk_kho	0	false	999	tomb_kings	1		false
land_encounters_trait_daemonic_gifts_dapk_kho	0	false	999	tomb_kings	1		false
land_encounters_trait_daemonic_gifts_bldl_kho	0	false	999	tomb_kings	1		false
land_encounters_trait_daemonic_gifts_sigv_sla	0	false	999	tomb_kings	1		false
land_encounters_trait_daemonic_gifts_nka_sla	0	false	999	tomb_kings	1		false
land_encounters_trait_daemonic_gifts_mor_def	0	false	999	tomb_kings	1		false
