key	accuracy	armour	campaign_action_points	category	charge_bonus	class	historical_description_text	man_animation	man_entity	melee_attack	melee_defence	morale	bonus_hit_points	mount	num_mounts	primary_melee_weapon	primary_missile_weapon	rank_depth	shield	short_description_text	spacing	training_level	articulated_record	engine	is_male	visibility_spotting_range_min	visibility_spotting_range_max	attribute_group	spot_dist_tree	spot_dist_scrub	reload	selection_vo	selected_vo_secondary	selected_vo_tertiary	hiding_scalar	ground_stat_effect_group	secondary_ammo	primary_ammo	damage_mod_flame	damage_mod_magic	num_engines	damage_mod_physical	damage_mod_missile	damage_mod_all	ai_usage_group	can_skirmish	can_brace	mounted_draughts	sync_locomotion	capture_tier	key_building_capture_tier	score_capture_tier	harmony_amplification_type	first_person	ar_unit_category	healing_power	spell_mastery	infinite_secondary_ammo	default_guard_mode
#land_units_tables;54;db/land_units_tables/!!!!!!!2xunitsize_compat_pwner1_wh3_ete_unit_pack
10tze	10	wh2_main_body_30	2100	inf_melee	35	inf_mel	wh3_main_unit_long_text_tze_mon_lord_of_change_0	hu10c_exalted_lord_of_change_staff	wh_main_chs_lord_of_change_blood	45	45	60	10440		0	wh3_main_tze_lord_of_change_staff		2	none	10tze	wh2_dlc11_cst_rotting_prometheans	trained			true	40.0000	1500.0000	10tze	60	80	0	vo_sel_default	vo_sel_culture	vo_sel_culture	1.0000	large	0	0	0	0	0	20	0	0	flying_melee	false	false	false	false	cant_capture	cant_capture	cant_capture			melee	1.0000	1.0000	false	false
11tze	10	wh2_main_plate_50	2100	inf_melee	30	com	wh3_main_unit_long_text_dae_cha_daemon_prince_tze_MP	hu10e_dlc20_daemon_prince_1h_noarmoury	wh3_dlc20_chs_cha_daemon_prince_mtze	55	55	80	10184		0	wh3_main_dae_daemon_prince_tzeentch_staff_MP		2	none	11tze	wh2_dlc11_cst_rotting_prometheans	trained			true	40.0000	1500.0000	11tze	60	80	0	vo_sel_default	vo_sel_culture	vo_sel_culture	1.0000	large	0	0	0	0	0	20	0	0	flying_melee_highvalue	false	true	false	false	cant_capture	cant_capture	cant_capture				1.0000	1.0000	false	false
12dae	10	wh2_main_body_45	2100	inf_melee	55	com	wh3_main_unit_long_text_dae_cha_daemon_prince_0	hu10_belakor	wh3_main_dae_cha_be_lakor	70	55	80	11192		0	wh3_main_dae_belakor_sword		2	none	12dae	wh2_dlc11_cst_rotting_prometheans	trained			true	40.0000	1500.0000	12dae	60	80	0	vo_sel_default	vo_sel_culture	vo_sel_culture	1.0000	large	0	0	0	0	0	20	0	0	flying_melee_highvalue	false	true	false	false	cant_capture	cant_capture	cant_capture				1.0000	1.0000	false	false
1dae	10	wh2_main_plate_60	2100	inf_melee	50	com	wh3_main_unit_long_text_dae_cha_daemon_prince_0	hu10e_wh3_daemon_prince_1h	wh3_main_dae_cha_daemon_prince_generic	55	55	90	10184		0	wh3_main_dae_daemon_prince_flame		2	none	1dae	wh2_dlc11_cst_rotting_prometheans	trained			true	40.0000	1500.0000	1dae	60	80	0	vo_sel_default	vo_sel_culture	vo_sel_culture	1.0000	large	0	0	0	0	0	20	0	0	flying_melee_highvalue	false	true	false	false	cant_capture	cant_capture	cant_capture				1.0000	1.0000	false	false
1wyrm	10	wh2_main_body_70	2100	war_beast	57	cav_mel	wh_dlc08_unit_long_text_nor_frost_wyrm	hu1c_chaos_dr1b_chaos_dragon_wb_sword_and_shield	wh_main_infantry_rider	45	41	70	20448	1wyrm	16	wh_dlc08_nor_wyrm		4	wh_missile_block_35_metal	1wyrm	wh2_dlc15_super_monstrous_cavalry_flying	trained			true	40.0000	1500.0000	1wyrm	60	80	0	vo_sel_default	vo_sel_generic	vo_sel_culture	1.0000	large	0	0	-25	0	0	0	15	0	flying_melee_flanker_shock_highvalue	false	false	false	false	cant_capture	cant_capture	cant_capture				1.0000	1.0000	false	false
2dae	10	wh2_main_heavy_metal_120	2100	inf_melee	50	com	wh3_main_unit_long_text_dae_cha_daemon_prince_0	hu10e_dlc20_daemon_prince_1h_noarmoury	wh3_dlc20_chs_cha_daemon_prince	55	55	90	10184		0	wh3_main_dae_daemon_prince_sword_MP		2	none	2dae	wh2_dlc11_cst_rotting_prometheans	trained			true	40.0000	1500.0000	2dae	60	80	0	vo_sel_default	vo_sel_culture	vo_sel_culture	1.0000	large	0	0	80	0	0	20	0	0	flying_melee_highvalue	false	true	false	false	cant_capture	cant_capture	cant_capture				1.0000	1.0000	false	false
2mammoth	10	wh2_main_leather_50	2100	war_beast	68	inf_mel	wh_dlc08_unit_long_text_nor_feral_mammoth	hu1c_norsca_wm_chaos_chariot_throwing_axes	wh_main_infantry_rider	30	28	50	33520	2mammoth	16	wh_dlc08_nor_mammoth_tusks		4	none	2mammoth	wh_dlc08_nor_mammoth_herd_ror	trained			true	40.0000	1500.0000	2mammoth	60	80	0	vo_sel_default	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	50	0	0	0	0	15	0	melee_gatecrusher_highvalue	false	false	false	false	medium	medium	domination_monsters			melee	1.0000	1.0000	false	false
3dae	10	wh2_main_heavy_metal_90	2100	inf_ranged	30	spcl	wh3_main_unit_long_text_nur_mon_soul_grinder_0	hc7_wh3_nurgle_soul_grinder	wh3_main_monster_nur_soul_grinder_blood	42	35	55	6680		0	wh3_main_nurgle_soul_grinder	wh3_main_nur_soul_grinder_bombard	2	none	wh3_main_sla_mon_soul_grinder_0_ete	wh_dlc08_nor_mammoth_herd_ror	trained			true	40.0000	1500.0000	wh3_main_nur_mon_soul_grinder_0	60	80	0	vo_sel_default	vo_sel_default	vo_sel_culture	1.0000	large	0	15	0	0	0	20	0	0	ranged_no_skirmish_gatecrusher	false	false	false	false	medium	medium	domination_monsters			artillery	1.0000	1.0000	false	false
3manticore	10	wh2_main_body_80	2100	war_beast	50	cav_mel	wh3_dlc20_unit_long_text_chs_chaos_lord_all_und	hu1c_chaos_bc3_manticore_wb_sword_and_shield	wh_main_infantry_rider	55	34	66	8520	3manticore	8	wh_dlc01_chs_manticore_exalted_hero		2	wh_missile_block_35_metal	3manticore	wh2_dlc15_super_monstrous_cavalry_flying	trained			true	40.0000	1500.0000	3manticore	60	80	0	vo_sel_chaos_knights	vo_sel_cavalry	vo_sel_culture	1.0000	large	0	0	0	0	0	0	15	0	flying_melee_flanker_shock_highvalue	false	false	false	false	cant_capture	cant_capture	cant_capture				1.0000	1.0000	false	false
3manticore_kho	10	wh2_main_heavy_metal_130	2100	war_beast	50	cav_mel	wh3_dlc20_unit_long_text_chs_chaos_lord_all_und	hu1c_dlc26_bc4_flesh_hound_arbaal_axe	wh3_dlc20_chs_cha_lord_hero	70	33	75	7928	wh3_dlc26_kho_mnt_flesh_hound_of_khorne_arbaal_ete	16	wh3_dlc20_chs_cha_exalted_hero_mnur_great_axe_rot_beast_ete		4	wh_missile_block_35_metal	3manticore_sla	wh2_dlc09_necroserpents	trained			true	40.0000	1500.0000	3manticore_kho	60	80	0	vo_sel_chaos_knights	vo_sel_cavalry	vo_sel_dlc20_chaos_faction_leader	1.0000	large	0	0	0	20	0	0	0	0	flying_melee_flanker_shock_highvalue	false	false	false	false	cant_capture	cant_capture	cant_capture				1.0000	1.0000	false	false
